,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
10,"('어떤', '유물')","('어떤', '잔재')","('어떤', '도자기')","('어느', '유물')","('어느', '잔재')","('어느', '도자기')","('무슨', '유물')","('무슨', '잔재')","('무슨', '도자기')","('어떠한', '유물')","('어떠한', '잔재')","('어떠한', '도자기')",해당하는 유물이 뭐야,어떤 유물이 포함,어떤 유물들이,"대표, 유물","대표적인, 도자기","대표적인, 유물","만들어진, 다른, 유물",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"('어떤', '유물', '발견')","('어떤', '잔재', '발견')","('어떤', '도자기', '발견')","('어느', '유물', '발견')","('어느', '잔재', '발견')","('어느', '도자기', '발견')","('무슨', '유물', '발견')","('무슨', '잔재', '발견')","('무슨', '도자기', '발견')","('어떠한', '유물', '발견')","('어떠한', '잔재', '발견')","('어떠한', '도자기', '발견')",어떤 게 발견,어떤게 발견,뭘 발견,어떤거 발견,보물창고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"('어떤', '유물', '제작')","('어떤', '유물', '구현')","('어떤', '유물', '구성')","('어떤', '유물', '생산')","('어떤', '유물', '제조')","('어떤', '잔재', '제작')","('어떤', '잔재', '구현')","('어떤', '잔재', '구성')","('어떤', '잔재', '생산')","('어떤', '잔재', '제조')","('어떤', '도자기', '제작')","('어떤', '도자기', '구현')","('어떤', '도자기', '구성')","('어떤', '도자기', '생산')","('어떤', '도자기', '제조')","('어느', '유물', '제작')","('어느', '유물', '구현')","('어느', '유물', '구성')","('어느', '유물', '생산')","('어느', '유물', '제조')","('어느', '잔재', '제작')","('어느', '잔재', '구현')","('어느', '잔재', '구성')","('어느', '잔재', '생산')","('어느', '잔재', '제조')","('어느', '도자기', '제작')","('어느', '도자기', '구현')","('어느', '도자기', '구성')","('어느', '도자기', '생산')","('어느', '도자기', '제조')","('무슨', '유물', '제작')","('무슨', '유물', '구현')","('무슨', '유물', '구성')","('무슨', '유물', '생산')","('무슨', '유물', '제조')","('무슨', '잔재', '제작')","('무슨', '잔재', '구현')","('무슨', '잔재', '구성')","('무슨', '잔재', '생산')","('무슨', '잔재', '제조')","('무슨', '도자기', '제작')","('무슨', '도자기', '구현')","('무슨', '도자기', '구성')","('무슨', '도자기', '생산')","('무슨', '도자기', '제조')","('어떠한', '유물', '제작')","('어떠한', '유물', '구현')","('어떠한', '유물', '구성')","('어떠한', '유물', '생산')","('어떠한', '유물', '제조')","('어떠한', '잔재', '제작')","('어떠한', '잔재', '구현')","('어떠한', '잔재', '구성')","('어떠한', '잔재', '생산')","('어떠한', '잔재', '제조')","('어떠한', '도자기', '제작')","('어떠한', '도자기', '구현')","('어떠한', '도자기', '구성')","('어떠한', '도자기', '생산')","('어떠한', '도자기', '제조')",어떤 도자기를 만들었어,뭘 만들었어,뭐 만들었어,뭐했어,어떤거 만들었어,뭐 만듬,뭐 만듦,어떤거 만듦,뭘 만들었냐,뭐 만들었냐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"('사용', '유물', '어떤')","('사용', '유물', '어느')","('사용', '유물', '무슨')","('사용', '유물', '어떠한')","('사용', '잔재', '어떤')","('사용', '잔재', '어느')","('사용', '잔재', '무슨')","('사용', '잔재', '어떠한')","('사용', '도자기', '어떤')","('사용', '도자기', '어느')","('사용', '도자기', '무슨')","('사용', '도자기', '어떠한')","('활용', '유물', '어떤')","('활용', '유물', '어느')","('활용', '유물', '무슨')","('활용', '유물', '어떠한')","('활용', '잔재', '어떤')","('활용', '잔재', '어느')","('활용', '잔재', '무슨')","('활용', '잔재', '어떠한')","('활용', '도자기', '어떤')","('활용', '도자기', '어느')","('활용', '도자기', '무슨')","('활용', '도자기', '어떠한')","('이용', '유물', '어떤')","('이용', '유물', '어느')","('이용', '유물', '무슨')","('이용', '유물', '어떠한')","('이용', '잔재', '어떤')","('이용', '잔재', '어느')","('이용', '잔재', '무슨')","('이용', '잔재', '어떠한')","('이용', '도자기', '어떤')","('이용', '도자기', '어느')","('이용', '도자기', '무슨')","('이용', '도자기', '어떠한')",동일한 사용한 도자기,같은 사용한 도자기,비슷한 사용한 도자기,비슷한 도자기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"('어디에', '위치')","('어디에', '장소')","('어디에', '자리')","('어디에', '사이트')","('어디에', '지역')","('어디에', '포인트')","('어느곳에', '위치')","('어느곳에', '장소')","('어느곳에', '자리')","('어느곳에', '사이트')","('어느곳에', '지역')","('어느곳에', '포인트')","('어느쪽에', '위치')","('어느쪽에', '장소')","('어느쪽에', '자리')","('어느쪽에', '사이트')","('어느쪽에', '지역')","('어느쪽에', '포인트')","('어디', '위치')","('어디', '장소')","('어디', '자리')","('어디', '사이트')","('어디', '지역')","('어디', '포인트')",어디있어,어디 있어,어디,ㅇㄷ,어디야,어딜까,어디일까,어디얌,어디인지 궁금해,어디인지 알려줘,어디 있는지,위치,"어떤, 곳",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"('어떤', '용도', '사용')","('어떤', '용도', '활용')","('어떤', '용도', '이용')","('어떤', '사용하는 이유', '사용')","('어떤', '사용하는 이유', '활용')","('어떤', '사용하는 이유', '이용')","('어느', '용도', '사용')","('어느', '용도', '활용')","('어느', '용도', '이용')","('어느', '사용하는 이유', '사용')","('어느', '사용하는 이유', '활용')","('어느', '사용하는 이유', '이용')","('무슨', '용도', '사용')","('무슨', '용도', '활용')","('무슨', '용도', '이용')","('무슨', '사용하는 이유', '사용')","('무슨', '사용하는 이유', '활용')","('무슨', '사용하는 이유', '이용')","('어떠한', '용도', '사용')","('어떠한', '용도', '활용')","('어떠한', '용도', '이용')","('어떠한', '사용하는 이유', '사용')","('어떠한', '사용하는 이유', '활용')","('어떠한', '사용하는 이유', '이용')",용도가 뭐야,용도,용도 궁금해,어디에 쓰는거야,어디 쓰는거야,"('어떤', '용도')","('어떤', '사용하는 이유')","('어느', '용도')","('어느', '사용하는 이유')","('무슨', '용도')","('무슨', '사용하는 이유')","('어떠한', '용도')","('어떠한', '사용하는 이유')",어떤 용도로 사용,용도가 뭐야,용도가 뭘까,용도,"사용되는, 곳",목적,"어디에, 쓰던거야","어디에, 쓰는거야","어디에, 사용","뭐에, 쓰는거야","뭐에, 쓰나요",장식용,"언제, 쓰는, 물건","어디에, 쓰는","왜, 만든거야","어디에, 썼던","어디에, 썼던","무엇을, 담은","무엇을, 담나","실제, 사용","실제, 사용","어디, 쓰는거","주로, 어떻게, 사용","어디에, 썼던",사용되는,사용하는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"('어떤', '역사')","('어떤', '과거의 배경')","('어느', '역사')","('어느', '과거의 배경')","('무슨', '역사')","('무슨', '과거의 배경')","('어떠한', '역사')","('어떠한', '과거의 배경')",역사 알려줘,역사,역사 궁금해,역사가 어떻게돼,언제야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"('어떤', '시대', '제작')","('어떤', '시대', '구현')","('어떤', '시대', '구성')","('어떤', '시대', '생산')","('어떤', '시대', '제조')","('어떤', '시절', '제작')","('어떤', '시절', '구현')","('어떤', '시절', '구성')","('어떤', '시절', '생산')","('어떤', '시절', '제조')","('어떤', '나라', '제작')","('어떤', '나라', '구현')","('어떤', '나라', '구성')","('어떤', '나라', '생산')","('어떤', '나라', '제조')","('어느', '시대', '제작')","('어느', '시대', '구현')","('어느', '시대', '구성')","('어느', '시대', '생산')","('어느', '시대', '제조')","('어느', '시절', '제작')","('어느', '시절', '구현')","('어느', '시절', '구성')","('어느', '시절', '생산')","('어느', '시절', '제조')","('어느', '나라', '제작')","('어느', '나라', '구현')","('어느', '나라', '구성')","('어느', '나라', '생산')","('어느', '나라', '제조')","('무슨', '시대', '제작')","('무슨', '시대', '구현')","('무슨', '시대', '구성')","('무슨', '시대', '생산')","('무슨', '시대', '제조')","('무슨', '시절', '제작')","('무슨', '시절', '구현')","('무슨', '시절', '구성')","('무슨', '시절', '생산')","('무슨', '시절', '제조')","('무슨', '나라', '제작')","('무슨', '나라', '구현')","('무슨', '나라', '구성')","('무슨', '나라', '생산')","('무슨', '나라', '제조')","('어떠한', '시대', '제작')","('어떠한', '시대', '구현')","('어떠한', '시대', '구성')","('어떠한', '시대', '생산')","('어떠한', '시대', '제조')","('어떠한', '시절', '제작')","('어떠한', '시절', '구현')","('어떠한', '시절', '구성')","('어떠한', '시절', '생산')","('어떠한', '시절', '제조')","('어떠한', '나라', '제작')","('어떠한', '나라', '구현')","('어떠한', '나라', '구성')","('어떠한', '나라', '생산')","('어떠한', '나라', '제조')",언제 만들었어,언제 만듬,언제 만듦,만든게 언제야,언제 만든거야,만든게 어떤 시대야,언제 만들어졌어,언제쯤 만들었어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"('어떤', '시대', '유행')","('어떤', '시대', '많이 사용')","('어떤', '시대', '유명')","('어떤', '시절', '유행')","('어떤', '시절', '많이 사용')","('어떤', '시절', '유명')","('어떤', '나라', '유행')","('어떤', '나라', '많이 사용')","('어떤', '나라', '유명')","('어느', '시대', '유행')","('어느', '시대', '많이 사용')","('어느', '시대', '유명')","('어느', '시절', '유행')","('어느', '시절', '많이 사용')","('어느', '시절', '유명')","('어느', '나라', '유행')","('어느', '나라', '많이 사용')","('어느', '나라', '유명')","('무슨', '시대', '유행')","('무슨', '시대', '많이 사용')","('무슨', '시대', '유명')","('무슨', '시절', '유행')","('무슨', '시절', '많이 사용')","('무슨', '시절', '유명')","('무슨', '나라', '유행')","('무슨', '나라', '많이 사용')","('무슨', '나라', '유명')","('어떠한', '시대', '유행')","('어떠한', '시대', '많이 사용')","('어떠한', '시대', '유명')","('어떠한', '시절', '유행')","('어떠한', '시절', '많이 사용')","('어떠한', '시절', '유명')","('어떠한', '나라', '유행')","('어떠한', '나라', '많이 사용')","('어떠한', '나라', '유명')",언제 유행함,유행한게 언제야,유행이 언제야,언제 유행,유행했어,유행한 시기,유행 시기,유행 시절,언제 유행,언제쯤 유행,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"('어떤', '시대')","('어떤', '시절')","('어떤', '나라')","('어느', '시대')","('어느', '시절')","('어느', '나라')","('무슨', '시대')","('무슨', '시절')","('무슨', '나라')","('어떠한', '시대')","('어떠한', '시절')","('어떠한', '나라')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"('어떤', '소장품번호')","('어떤', '번호')","('어떤', '유물번호')","('어떤', '유물의 번호')","('어느', '소장품번호')","('어느', '번호')","('어느', '유물번호')","('어느', '유물의 번호')","('무슨', '소장품번호')","('무슨', '번호')","('무슨', '유물번호')","('무슨', '유물의 번호')","('어떠한', '소장품번호')","('어떠한', '번호')","('어떠한', '유물번호')","('어떠한', '유물의 번호')",소장품 번호 뭐야,소장품번호뭔대,소장품 번호,소장품번호,번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"('어떤', '색')","('어떤', '색깔')","('어떤', '빛깔')","('어떤', '색상')","('어떤', '색채')","('어느', '색')","('어느', '색깔')","('어느', '빛깔')","('어느', '색상')","('어느', '색채')","('무슨', '색')","('무슨', '색깔')","('무슨', '빛깔')","('무슨', '색상')","('무슨', '색채')","('어떠한', '색')","('어떠한', '색깔')","('어떠한', '빛깔')","('어떠한', '색상')","('어떠한', '색채')",색깔 뭐야,색깔,색깔뭐냐,색깔 알려줘,색깔 궁금하네,색,컬러,색상,"원래, 색상","원래, 색깔",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"('어떻게', '사용')","('어떻게', '활용')","('어떻게', '이용')","('어떤 방식으로', '사용')","('어떤 방식으로', '활용')","('어떤 방식으로', '이용')","('어떠하게', '사용')","('어떠하게', '활용')","('어떠하게', '이용')",사용방법,사용 방법이 뭐야,사용 방식,사용하는 방법,사용하는 방식,어떻게 썼어,어떻게 쓰는거야,쓰는 방법,쓰는 방식,어떻게 쓰는거야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"('왜', '사용')","('왜', '활용')","('왜', '이용')","('어떤 이유로', '사용')","('어떤 이유로', '활용')","('어떤 이유로', '이용')","('어느 이유로', '사용')","('어느 이유로', '활용')","('어느 이유로', '이용')","('무슨 이유로', '사용')","('무슨 이유로', '활용')","('무슨 이유로', '이용')","('어떤 이유가 있어서', '사용')","('어떤 이유가 있어서', '활용')","('어떤 이유가 있어서', '이용')","('어느 이유가 있어서', '사용')","('어느 이유가 있어서', '활용')","('어느 이유가 있어서', '이용')","('무슨 이유가 있어서', '사용')","('무슨 이유가 있어서', '활용')","('무슨 이유가 있어서', '이용')","('어떠한 이유로', '사용')","('어떠한 이유로', '활용')","('어떠한 이유로', '이용')","('어떠한 이유가 있어서', '사용')","('어떠한 이유가 있어서', '활용')","('어떠한 이유가 있어서', '이용')",왜 사용함,쓴 이유가 뭐야,쓴 이유,사용 이유,사용을 왜,"주로, 언제, 쓰였나요","주로, 가정, 사용","어디에, 쓰는거야","어디에, 써","주로, 어디에, 사용","어디에, 사용","어디에, 사용되나요","어떤, 용도로, 쓰이나요","어떤, 용도로, 사용된것인가요","제작, 목적, 무엇","목적, 무엇",목적,"무슨, 목적","용도, 무엇","언제, 사용",사용되나요,"어떤, 용도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"('어떤', '사람')","('어떤', '인간')","('어느', '사람')","('어느', '인간')","('무슨', '사람')","('무슨', '인간')","('어떠한', '사람')","('어떠한', '인간')",누구야,ㄴㄱ,누군대,누군데,누구일까,누구,누구인지 말해봐,누구임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"('어떻게', '발견')","('어떤 방식으로', '발견')","('어떠하게', '발견')",어떻게 찾았어,어떻게 찾음,찾은 방법,어케 찾음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"('언제', '발견')","('어느 때에', '발견')","('어느 시대에', '발견')","('어느 시절에', '발견')","('어떤 때에', '발견')","('어떤 시대에', '발견')","('어떤 시절에', '발견')",언제 찾음,언제 찾았어,언제 찾았어요,언제 찾아,언제 찾았,언제 찾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"('누가', '발견')","('어떤 사람이', '발견')","('어느 누가', '발견')","('어떤 누가', '발견')","('어느 사람이 ', '발견')",누가 찾음,누가 찾았어,누가 찾았을까,누가 발견함,누가 발견,"왜, 발견",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"('어떤', '모양')","('어떤', '생김새')","('어떤', '형태')","('어떤', '쉐입')","('어느', '모양')","('어느', '생김새')","('어느', '형태')","('어느', '쉐입')","('무슨', '모양')","('무슨', '생김새')","('무슨', '형태')","('무슨', '쉐입')","('어떠한', '모양')","('어떠한', '생김새')","('어떠한', '형태')","('어떠한', '쉐입')",모양이 어때,모양 궁금해,모양이 어떻게,뭔 모양임,모양이 뭔데,모양 뭐임,어떻게 생김,어떻게 생겼어,어떻게생겼어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"('어떤', '뜻')","('어떤', '정의')","('어떤', '의미')","('어떤', '담긴 의미')","('어떤', '담긴 뜻')","('어떤', '담긴 정의')","('어느', '뜻')","('어느', '정의')","('어느', '의미')","('어느', '담긴 의미')","('어느', '담긴 뜻')","('어느', '담긴 정의')","('무슨', '뜻')","('무슨', '정의')","('무슨', '의미')","('무슨', '담긴 의미')","('무슨', '담긴 뜻')","('무슨', '담긴 정의')","('어떠한', '뜻')","('어떠한', '정의')","('어떠한', '의미')","('어떠한', '담긴 의미')","('어떠한', '담긴 뜻')","('어떠한', '담긴 정의')",뭐야,뭔데,있어,"왜, 많은, 유물","뜻하는, 바","의마하는게, 뭐야","의미하는, 바",무엇인가,"어떤, 그릇","어떤걸, 상징","어떤걸, 의미","특별한, 의미","장식한, 이유","갖는, 의미",의미,"쓰이는, 이유",무엇이죠,"뜻, 무엇",무엇인가요,"넣은, 이유","의미하는게, 뭐야",뭔가요,무엇인가,의미,"상징, 의미",,"의미, 무엇",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
